나이,성별,측정항목,평균,표준편차,최소값,최대값,샘플수
11,F,grip_right,19.433365853658536,3.6676970761242234,8.6,46.5,4100
11,M,grip_right,21.067954220314736,4.288194573369116,12.4,42.5,4194
12,F,grip_right,20.474493670886076,3.96460448517072,12.4,51.9,1580
12,M,grip_right,21.889431887599265,4.394488878244192,13.2,38.5,1637
13,F,grip_left,56.18094714285714,7.771865214578349,25.292,90.709,1400
13,F,grip_right,21.252142857142857,3.9865421903900926,13.1,46.4,1400
13,F,shuttle_run,35.10093189964158,3.547083267253275,18.5,48.4,1395
13,M,grip_left,54.74172026578072,7.439434605409171,26.572,108.896,1505
13,M,grip_right,22.680478087649405,4.725490785091496,12.2,43.7,1506
13,M,shuttle_run,42.03482321547698,5.4189452949426276,23.5,60.4,1499
14,F,grip_left,52.50519658813972,7.700372132725788,16.824,110.956,1231
14,F,grip_right,21.877110389610387,4.198587294131145,12.8,42.6,1232
14,F,shuttle_run,34.63276283618582,3.6768491074395118,20.9,48.8,1227
14,M,grip_left,50.51811079745942,6.808408971580451,31.547,83.663,1417
14,M,grip_right,23.120689655172413,4.957964976392974,12.0,43.4,1421
14,M,shuttle_run,42.82887473460722,5.64014482508164,23.7,59.4,1413
15,F,grip_left,53.266526748971195,7.611666703519022,21.377,111.559,1944
15,F,grip_right,22.162107969151673,4.191984645262247,8.1,60.1,1945
15,F,shuttle_run,34.30270413573701,3.4096240922349392,13.6,46.1,1886
15,F,vo2max,148.32432432432432,19.1645709782604,87.0,178.0,37
15,M,grip_left,50.084859655981234,7.516831906845271,21.131,118.157,2558
15,M,grip_right,23.392079594225518,4.985127342379096,13.9,49.3,2563
15,M,shuttle_run,42.86142631993695,5.653536314238533,21.6,59.2,2538
16,F,grip_left,52.88098078682525,7.529483733800824,31.864,120.0,2186
16,F,grip_right,22.291312299954278,4.388368084333311,11.2,47.7,2187
16,F,shuttle_run,34.3357789423535,3.52121738588521,16.4,49.6,2099
16,F,vo2max,146.68,17.17430448937824,103.0,176.0,50
16,M,grip_left,48.67854486523371,7.428039561365089,30.326,120.46,2931
16,M,grip_right,23.868594760122487,4.9813987313553385,13.3,52.9,2939
16,M,shuttle_run,42.56730501392758,5.61290124413898,21.6,58.6,2872
16,M,vo2max,141.9,24.21409139782499,92.0,177.0,10
17,F,grip_left,51.342615658362995,7.78602986800348,33.967,112.108,2248
17,F,grip_right,22.46876943580631,4.2540372714940995,13.6,46.3,2251
17,F,shuttle_run,34.01152764761012,3.3111807084409652,20.2,46.7,2134
17,F,vo2max,143.44642857142858,16.4404375553994,106.0,178.0,56
17,M,grip_left,47.28490577695397,7.2242093755262005,27.736,120.276,3237
17,M,grip_right,24.35333539221742,4.751793605653913,14.6,53.7,3238
17,M,shuttle_run,42.28258248730965,5.49343261516432,21.0,58.4,3152
17,M,vo2max,150.5,15.583874449479593,131.0,171.0,8
18,F,grip_left,51.534273584905655,8.614823181587452,10.923,120.46,742
18,F,grip_right,22.786193029490615,4.496809874185121,13.8,43.8,746
18,F,shuttle_run,34.00178571428572,3.6225691489139273,20.4,44.5,672
18,F,vo2max,139.07142857142858,22.63057350450618,82.0,178.0,28
18,M,grip_left,47.33161538461539,7.256686632575953,31.485,106.156,1560
18,M,grip_right,24.285859872611468,4.482089993887084,15.1,43.1,1570
18,M,shuttle_run,42.45025307302964,5.321650982860032,23.9,64.4,1383
18,M,vo2max,136.75,25.920678597354822,86.0,180.0,20
19,F,grip_right,21.853813559322035,3.706478840473691,15.9,34.6,236
19,F,shuttle_run,33.84027777777778,3.342213985952175,24.3,41.4,144
19,F,sit_up,28.251082251082252,12.290228927262083,0.0,63.0,231
19,F,vo2max,124.31944444444444,20.57198038964163,77.0,163.0,72
19,M,grip_right,23.808244680851065,3.7288719289915555,15.2,41.4,752
19,M,shuttle_run,43.252857142857145,4.7974900387251695,27.9,54.4,420
19,M,sit_up,42.70439414114514,11.251096272472546,0.0,75.0,751
19,M,vo2max,112.145,20.77745141823669,53.0,160.0,200
20,F,grip_right,21.228488372093025,3.5668473531677347,14.8,39.9,172
20,F,shuttle_run,33.51234567901235,3.2952004004327793,23.4,42.2,81
20,F,sit_up,27.58139534883721,12.131313805594298,0.0,62.0,172
20,F,vo2max,126.85507246376811,18.246091734878814,77.0,163.0,69
20,M,grip_right,24.12387640449438,3.9456615684635366,14.0,41.1,356
20,M,shuttle_run,42.72704081632653,4.449273454761863,29.1,52.4,196
20,M,sit_up,42.7909604519774,11.26484303456255,0.0,68.0,354
20,M,vo2max,115.65555555555555,19.56732033183872,75.0,158.0,90
21,F,grip_right,20.270790378006872,2.8561981713176228,16.0,34.4,291
21,F,shuttle_run,33.870000000000005,2.7997920356765738,27.1,38.8,80
21,F,sit_up,25.90344827586207,12.416544459049133,0.0,51.0,290
21,F,vo2max,123.94505494505495,21.445221305638075,62.0,170.0,182
21,M,grip_right,24.279057591623037,3.793093606436844,16.9,40.0,191
21,M,shuttle_run,42.707070707070706,4.654123748064338,27.4,49.9,99
21,M,sit_up,42.78191489361702,11.70722582085635,0.0,64.0,188
21,M,vo2max,113.40983606557377,20.491768305981086,69.0,156.0,61
22,F,grip_right,19.90414201183432,2.212061756415078,15.2,29.8,338
22,F,shuttle_run,34.487837837837844,2.210928813851443,28.8,39.0,74
22,F,sit_up,27.431952662721894,10.83281843410288,0.0,56.0,338
22,F,vo2max,123.44680851063829,18.62728550167728,79.0,176.0,188
22,M,grip_right,24.648175182481754,3.9285362898731315,17.4,44.1,137
22,M,shuttle_run,42.77307692307692,4.872122476147067,24.1,51.1,78
22,M,sit_up,43.130147058823525,10.927636184043012,17.7,67.0,136
22,M,vo2max,109.95833333333333,18.844219536215288,76.0,171.0,48
23,F,grip_right,19.733498759305213,2.3286864353755186,15.9,29.9,403
23,F,shuttle_run,34.808791208791206,2.6976800053893366,26.7,42.6,91
23,F,sit_up,28.286069651741293,10.381753366734596,0.0,59.0,402
23,F,vo2max,123.15023474178403,18.060588867134296,74.0,157.0,213
23,M,grip_right,24.485393258426964,3.485646129560381,16.1,40.0,178
23,M,shuttle_run,42.91956521739131,4.3005555258437,31.0,52.5,92
23,M,sit_up,42.8150289017341,10.608268200525291,5.0,69.0,173
23,M,vo2max,110.31818181818181,19.805328801891903,61.0,150.0,66
24,F,grip_right,19.87711340206186,2.2632054896436316,15.4,38.3,485
24,F,shuttle_run,35.040952380952376,2.951065493307044,19.8,39.2,105
24,F,sit_up,29.02061855670103,10.075109848511444,0.0,60.0,485
24,F,vo2max,125.81343283582089,18.97116594295597,57.0,173.0,268
24,M,grip_right,24.629741379310346,4.008273253943691,16.9,37.4,232
24,M,shuttle_run,41.14038461538462,4.724764734077494,27.3,54.2,104
24,M,sit_up,41.952586206896555,11.203833305099952,0.0,70.0,232
24,M,vo2max,112.31,18.500174719349673,74.0,174.0,100
25,F,grip_right,19.98692098092643,2.065152729045814,14.6,31.1,367
25,F,shuttle_run,34.72528735632184,2.3626560925820375,22.4,40.3,87
25,F,sit_up,28.779291553133515,9.808149089801297,0.0,62.0,367
25,F,vo2max,122.32275132275132,18.165508609126697,67.0,166.0,189
25,M,grip_right,24.817766497461925,3.4605560315127395,12.1,40.7,197
25,M,shuttle_run,41.49266055045872,4.143909105029229,28.6,51.0,109
25,M,sit_up,41.28934010152284,10.43652035955344,14.0,66.0,197
25,M,vo2max,112.03076923076924,18.829804525314078,76.0,153.0,65
26,F,grip_right,20.261504424778764,2.8742651918905584,15.7,41.1,226
26,F,shuttle_run,35.163829787234036,2.5024705646459697,25.2,40.3,47
26,F,sit_up,29.486725663716815,9.94841364841454,0.0,53.0,226
26,F,vo2max,120.21138211382114,16.586708105559154,80.0,162.0,123
26,M,grip_right,24.523958333333336,3.843311856936464,18.0,53.1,192
26,M,shuttle_run,41.3515625,3.9866440590018315,29.3,48.9,64
26,M,sit_up,41.203125,10.02172460234443,15.0,60.0,192
26,M,vo2max,110.62068965517241,16.663036225821248,78.0,145.0,87
27,F,grip_right,20.54,2.7576021404868016,16.4,37.5,185
27,F,shuttle_run,34.06279069767442,2.6147041402162094,27.2,38.9,43
27,F,sit_up,29.054347826086957,9.898792916900991,1.0,55.0,184
27,F,vo2max,120.23148148148148,20.43892496829192,60.0,169.0,108
27,M,grip_right,24.84391534391535,3.305383666729868,18.0,34.7,189
27,M,shuttle_run,41.839285714285715,4.13626389411038,30.7,50.9,84
27,M,sit_up,43.08994708994709,10.45798862406225,0.0,70.0,189
27,M,vo2max,111.10112359550561,17.47468620073322,64.0,163.0,89
28,F,grip_right,21.34495412844037,5.181600035998678,15.8,65.2,109
28,F,shuttle_run,34.470000000000006,5.00573119809546,12.2,42.6,30
28,F,sit_up,28.86111111111111,10.971039475141314,0.0,55.0,108
28,F,vo2max,118.83050847457628,16.938176165277106,70.0,148.0,59
28,M,grip_right,25.560897435897434,4.225354708804835,16.6,39.2,156
28,M,shuttle_run,40.40819672131147,4.541890028096497,28.6,49.9,61
28,M,sit_up,43.08387096774194,9.675215920077736,18.0,61.0,155
28,M,vo2max,112.975,20.31397536024667,73.0,166.0,80
29,F,grip_right,22.02870370370371,3.6795227983445837,17.1,36.6,108
29,F,shuttle_run,34.88709677419355,3.4728222850667025,26.7,43.5,31
29,F,sit_up,26.574074074074073,12.377401553965461,0.0,55.0,108
29,F,vo2max,120.28333333333333,18.305405024400432,82.0,159.0,60
29,M,grip_right,25.84145077720207,3.665654496032495,19.0,39.5,193
29,M,shuttle_run,41.954166666666666,5.334340977287807,30.0,53.7,72
29,M,sit_up,41.9119170984456,10.784707197064966,1.0,67.0,193
29,M,vo2max,114.1,19.85579324158381,50.0,160.0,100
30,F,grip_right,21.80246913580247,2.822852073198398,15.7,30.0,81
30,F,shuttle_run,33.925,3.0395420361419063,28.5,41.7,20
30,F,sit_up,28.691358024691358,10.776875678169255,0.0,51.0,81
30,F,vo2max,124.08333333333333,16.03696970013726,87.0,166.0,48
30,M,grip_right,25.68792270531401,3.437457718548995,17.6,39.2,207
30,M,shuttle_run,41.372058823529414,4.340501573198183,26.2,51.5,68
30,M,sit_up,42.05797101449275,10.627703390590982,1.0,65.0,207
30,M,vo2max,112.67241379310344,18.44794125997896,66.0,167.0,116
31,F,grip_right,22.439130434782612,3.3407562278491745,17.5,34.9,69
31,F,shuttle_run,34.738461538461536,3.697643046937347,29.7,42.7,13
31,F,sit_up,26.47826086956522,9.762787535348604,0.0,49.0,69
31,F,vo2max,119.72093023255815,22.27675019193922,61.0,163.0,43
31,M,grip_right,25.456684491978606,3.168204898935662,17.5,41.5,187
31,M,shuttle_run,40.979166666666664,4.008615281973719,30.8,52.8,72
31,M,sit_up,44.0,9.481133470840494,18.0,72.0,186
31,M,vo2max,108.07865168539325,21.973757447082356,66.0,170.0,89
32,F,grip_right,22.521176470588237,3.1782030756255915,14.7,31.0,85
32,F,shuttle_run,32.50000000000001,3.434256491157704,28.0,42.4,35
32,F,sit_up,28.376470588235293,11.769590022584469,0.0,52.0,85
32,F,vo2max,113.54285714285714,22.545826348002546,67.0,151.0,35
32,M,grip_right,26.083695652173912,3.1895244236316396,17.7,34.5,184
32,M,shuttle_run,40.163513513513514,3.45311351761976,30.8,46.2,74
32,M,sit_up,43.91208791208791,10.701523980538516,0.0,70.0,182
32,M,vo2max,107.26881720430107,18.652508739615694,74.0,158.0,93
33,F,grip_right,23.116071428571427,3.8874986950346497,17.5,33.1,56
33,F,shuttle_run,31.3,3.700386080243133,25.3,38.0,15
33,F,sit_up,25.181818181818183,11.813505938497789,2.0,49.0,55
33,F,vo2max,120.96,18.897707091955187,84.0,157.0,25
33,M,grip_right,25.91963190184049,3.2215681116864885,19.6,40.5,163
33,M,shuttle_run,39.51166666666668,4.472063629617163,27.9,48.4,60
33,M,sit_up,42.68711656441718,11.303621987201215,1.0,67.0,163
33,M,vo2max,111.65,19.96078433810668,71.0,165.0,80
34,F,grip_right,22.49827586206896,2.7839446568474733,16.2,30.6,58
34,F,shuttle_run,33.02105263157894,3.249543377729044,27.2,39.3,19
34,F,sit_up,26.96551724137931,12.024777806958225,1.0,51.0,58
34,F,vo2max,118.35714285714286,16.522071177029712,83.0,147.0,28
34,M,grip_right,26.018620689655172,3.774788187709208,18.7,39.7,145
34,M,shuttle_run,39.669999999999995,5.018059223180506,27.1,51.6,50
34,M,sit_up,41.689655172413794,9.9131767257996,16.0,65.0,145
34,M,vo2max,112.71052631578948,17.60592005697605,74.0,162.0,76
35,F,grip_right,22.711111111111116,5.079020027962525,16.1,40.2,36
35,F,shuttle_run,33.16,5.991141608890395,21.7,44.5,10
35,F,sit_up,27.083333333333332,11.69951158931737,0.0,49.0,36
35,F,vo2max,114.52631578947368,21.84889628804732,75.0,160.0,19
35,M,grip_right,26.268309859154932,3.776586505536821,20.5,43.6,142
35,M,shuttle_run,39.3018181818182,4.693434772778883,29.0,48.2,55
35,M,sit_up,41.232394366197184,10.816762335275762,2.0,61.0,142
35,M,vo2max,112.28767123287672,20.755507603776184,74.0,160.0,73
36,F,grip_right,22.61372549019608,3.1368149201279403,17.7,33.7,51
36,F,shuttle_run,32.06818181818182,4.474731847633453,24.0,41.4,22
36,F,sit_up,25.725490196078432,11.923218410098087,0.0,62.0,51
36,F,vo2max,118.04545454545455,18.19596311254432,84.0,146.0,22
36,M,grip_right,26.449295774647887,3.057225982197449,19.2,34.1,142
36,M,shuttle_run,39.93541666666667,3.7291542354878184,32.9,47.5,48
36,M,sit_up,42.485915492957744,10.598899926519845,1.0,68.0,142
36,M,vo2max,108.88235294117646,20.569162117158093,68.0,162.0,68
37,F,grip_right,23.460526315789476,5.246957392400585,17.3,45.7,38
37,F,shuttle_run,30.85,7.374860773504231,17.7,43.0,8
37,F,sit_up,24.210526315789473,11.65299612264691,0.0,48.0,38
37,F,vo2max,113.05555555555556,15.306562307494215,88.0,145.0,18
37,M,grip_right,25.998305084745763,3.975609033617246,18.1,49.9,118
37,M,shuttle_run,39.13829787234043,3.8472775914749042,30.4,50.6,47
37,M,sit_up,40.144067796610166,12.191685147279971,1.0,65.0,118
37,M,vo2max,112.6140350877193,21.19278380045983,77.0,182.0,57
38,F,grip_right,23.479069767441857,4.81236295485932,11.7,39.5,43
38,F,shuttle_run,31.050000000000004,2.6129117268495117,24.2,34.6,14
38,F,sit_up,25.488372093023255,11.709524192324436,4.0,54.0,43
38,F,vo2max,113.08,18.544810594880715,71.0,143.0,25
38,M,grip_right,25.825233644859814,3.408593287503228,19.9,41.6,107
38,M,shuttle_run,39.16315789473684,6.260792672922045,22.3,49.7,38
38,M,sit_up,42.11214953271028,10.238041438953593,10.0,64.0,107
38,M,vo2max,106.68,19.429033607948067,63.0,148.0,50
39,F,grip_right,22.992307692307698,3.5102395041532732,16.8,31.9,39
39,F,shuttle_run,31.53,4.014155508253816,25.2,37.2,10
39,F,sit_up,27.666666666666668,11.526476006256509,6.0,61.0,39
39,F,vo2max,110.84210526315789,17.969922889510983,82.0,150.0,19
39,M,grip_right,24.952173913043474,3.3611909915638,16.8,35.0,115
39,M,shuttle_run,38.511428571428574,3.699027807774508,30.5,49.6,35
39,M,sit_up,40.48695652173913,10.19319106878507,1.0,63.0,115
39,M,vo2max,110.85507246376811,20.846268788949796,63.0,154.0,69
40,F,grip_right,22.214634146341464,4.2488563741087875,17.5,38.8,41
40,F,shuttle_run,33.46666666666667,2.3508863576673944,30.8,37.2,6
40,F,sit_up,26.0,10.0174847142384,7.0,44.0,41
40,F,vo2max,108.55,19.599879161818695,60.0,139.0,20
40,M,grip_right,26.108695652173914,3.538598846501876,19.8,37.8,92
40,M,shuttle_run,39.19722222222223,4.738443753633592,30.8,46.9,36
40,M,sit_up,39.891304347826086,11.440679801652388,0.0,64.0,92
40,M,vo2max,112.97727272727273,14.659687861716561,79.0,139.0,44
41,F,grip_right,24.239024390243905,4.068776108904279,18.8,36.1,41
41,F,shuttle_run,29.915384615384617,4.231005820890613,22.3,36.3,13
41,F,sit_up,22.853658536585368,10.946599873042214,0.0,41.0,41
41,F,vo2max,121.95238095238095,16.892235466261386,89.0,147.0,21
41,M,grip_right,26.637272727272723,4.753228918776713,21.4,52.8,110
41,M,shuttle_run,38.98409090909091,4.7136093503622485,24.8,49.8,44
41,M,sit_up,38.17272727272727,12.800415052695273,0.0,61.0,110
41,M,vo2max,109.94545454545455,22.620392456413192,69.0,170.0,55
42,F,grip_right,23.109090909090906,3.5911312669162867,18.0,37.0,66
42,F,shuttle_run,30.118181818181814,3.6432110854282116,24.2,39.8,22
42,F,sit_up,23.70769230769231,10.780078671041606,0.0,47.0,65
42,F,vo2max,118.22222222222223,17.915041667512746,86.0,160.0,27
42,M,grip_right,26.361904761904757,3.2929609030313,20.7,40.6,84
42,M,shuttle_run,40.27307692307692,4.491641810501608,32.6,48.6,26
42,M,sit_up,38.86904761904762,11.733773478548914,0.0,61.0,84
42,M,vo2max,107.40384615384616,20.85078605316094,56.0,154.0,52
43,F,grip_right,23.561016949152545,2.8872500309268476,18.8,33.8,59
43,F,shuttle_run,31.15454545454546,2.875539475077203,28.5,39.1,11
43,F,sit_up,25.423728813559322,12.158725247711121,1.0,56.0,59
43,F,vo2max,114.17647058823529,18.525119045518274,79.0,150.0,34
43,M,grip_right,25.654400000000003,2.946361999527224,19.1,36.3,125
43,M,shuttle_run,38.6952380952381,2.840813382402179,32.3,44.7,42
43,M,sit_up,36.699186991869915,10.79612480517939,0.0,64.0,123
43,M,vo2max,110.82608695652173,21.147908060734245,66.0,156.0,69
44,F,grip_right,24.021212121212123,4.347926655368763,17.0,35.1,66
44,F,shuttle_run,30.041666666666668,4.493755732092049,23.6,39.6,24
44,F,sit_up,23.015625,13.435905682459092,0.0,50.0,64
44,F,vo2max,115.03225806451613,20.729180512774324,73.0,155.0,31
44,M,grip_right,24.939639639639637,2.4633782893077134,19.7,31.9,111
44,M,shuttle_run,39.359375,3.8055866721643374,28.1,46.3,32
44,M,sit_up,39.6036036036036,11.565842561988909,0.0,60.0,111
44,M,vo2max,112.63076923076923,17.630379702704605,71.0,148.0,65
45,F,grip_right,22.92375,2.7481291104303915,17.2,29.1,80
45,F,shuttle_run,29.994999999999997,2.795762771353143,26.8,39.9,20
45,F,sit_up,25.846153846153847,10.153467737325366,0.0,54.0,78
45,F,vo2max,115.31818181818181,18.238437212825374,76.0,150.0,44
45,M,grip_right,25.801960784313724,2.567580838996805,20.5,33.8,102
45,M,shuttle_run,37.00294117647059,3.8745076163510395,27.4,46.6,34
45,M,sit_up,37.63725490196079,10.364437689882212,0.0,60.0,102
45,M,vo2max,108.24561403508773,18.326679129613186,66.0,150.0,57
46,F,grip_right,22.672916666666666,3.287418930855992,17.5,32.9,48
46,F,shuttle_run,29.3,3.190611226708764,24.0,36.6,11
46,F,sit_up,20.854166666666668,12.442189010615717,0.0,50.0,48
46,F,vo2max,114.61290322580645,22.364670679973266,70.0,147.0,31
46,M,grip_right,26.04019607843137,3.2349961300089043,20.4,36.5,102
46,M,shuttle_run,38.70789473684211,4.59520205590202,27.1,49.2,38
46,M,sit_up,39.3921568627451,11.369715604431164,0.0,62.0,102
